Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,3MINDIA,EQ,6450.05,6444.8,6529.15,6402.9,6462.0,6504.6,6480.29,170,110164985000.00002,75,96,0.5647
2015-01-02,3MINDIA,EQ,6504.6,6474.9,6612.0,6451.1,6494.0,6493.45,6529.41,555,362382130000.0,154,401,0.7225
2015-01-05,3MINDIA,EQ,6493.45,6451.0,6548.7,6451.0,6480.0,6484.4,6501.97,201,130689675000.0,57,127,0.6318
2015-01-06,3MINDIA,EQ,6484.4,6500.05,6549.0,6205.0,6340.0,6333.0,6359.53,684,434991559999.99994,247,404,0.5906
2015-01-07,3MINDIA,EQ,6333.0,6497.0,6649.65,6261.05,6280.0,6294.9,6329.21,231,146204755000.0,84,144,0.6234000000000001
2015-01-08,3MINDIA,EQ,6294.9,6497.15,6548.95,6327.1,6490.0,6494.85,6461.52,947,611906295000.0,341,634,0.6695000000000001
2015-01-09,3MINDIA,EQ,6494.85,6596.8,6596.9,6430.0,6438.0,6438.05,6482.95,313,202916435000.0,124,191,0.6102000000000001
2015-01-12,3MINDIA,EQ,6438.05,6494.35,6494.35,6401.0,6401.05,6409.25,6426.58,232,149096690000.0,61,182,0.7845000000000001
2015-01-13,3MINDIA,EQ,6409.25,6450.0,6500.0,6410.0,6447.0,6433.05,6455.15,352,227221304999.99997,99,249,0.7073999999999999
2015-01-14,3MINDIA,EQ,6433.05,6412.15,6650.0,6412.15,6600.0,6610.45,6546.97,650,425553100000.0,185,532,0.8185
2015-01-15,3MINDIA,EQ,6610.45,6649.1,6649.1,6443.25,6571.0,6570.05,6559.41,503,329938545000.0,149,354,0.7038
2015-01-16,3MINDIA,EQ,6570.05,6577.55,6619.95,6501.1,6535.0,6565.95,6577.71,405,266397140000.0,120,291,0.7184999999999999
2015-01-19,3MINDIA,EQ,6565.95,6571.75,6675.0,6566.05,6650.0,6644.45,6636.03,531,352373190000.0,142,326,0.6139
2015-01-20,3MINDIA,EQ,6644.45,6470.55,6929.65,6470.5,6840.0,6862.5,6872.62,2881,1980003014999.9998,800,1977,0.6862
2015-01-21,3MINDIA,EQ,6862.5,6815.75,6909.9,6815.7,6870.0,6861.9,6878.31,1027,706402155000.0,246,679,0.6611
2015-01-22,3MINDIA,EQ,6861.9,6900.8,6930.0,6787.25,6871.0,6879.6,6897.13,1470,1013878560000.0,206,1239,0.8429000000000001
2015-01-23,3MINDIA,EQ,6879.6,6890.05,6926.95,6811.0,6850.0,6821.15,6860.8,518,355389260000.0,132,331,0.639
2015-01-27,3MINDIA,EQ,6821.15,6812.0,7102.6,6751.0,7060.0,7031.45,7011.43,1806,1266264910000.0,415,1268,0.7021
2015-01-28,3MINDIA,EQ,7031.45,7032.1,7157.55,6836.05,6911.0,6935.95,7058.71,1499,1058100035000.0,393,822,0.5484
2015-01-29,3MINDIA,EQ,6935.95,6960.15,7050.0,6900.0,6950.0,6951.45,6963.78,865,602367050000.0,199,651,0.7526
2015-01-30,3MINDIA,EQ,6951.45,7050.0,7050.0,6699.9,6799.0,6812.7,6794.36,1745,1185615360000.0,401,1343,0.7696
2015-02-02,3MINDIA,EQ,6812.7,6811.55,6969.95,6810.0,6888.05,6913.9,6866.29,707,485446630000.0,150,569,0.8048000000000001
2015-02-03,3MINDIA,EQ,6913.9,6910.35,6980.0,6700.0,6950.0,6924.25,6886.73,1361,937283619999.9999,225,970,0.7127
2015-02-04,3MINDIA,EQ,6924.25,6881.4,6975.0,6855.0,6940.0,6936.1,6911.43,298,205960600000.0,86,236,0.7919
2015-02-05,3MINDIA,EQ,6936.1,6949.4,6949.4,6751.1,6765.0,6785.1,6797.28,906,615833845000.0,281,664,0.7329000000000001
2015-02-06,3MINDIA,EQ,6785.1,6750.0,6849.4,6700.0,6756.5,6749.25,6736.06,519,349601465000.0,170,392,0.7553000000000001
2015-02-09,3MINDIA,EQ,6749.25,6701.15,6802.0,6531.0,6597.0,6583.25,6609.89,1117,738324325000.0,243,915,0.8192
2015-02-10,3MINDIA,EQ,6583.25,6583.35,6740.0,6500.0,6660.0,6663.6,6633.83,780,517439015000.00006,234,471,0.6038
2015-02-11,3MINDIA,EQ,6663.6,6663.35,7199.0,6663.2,6900.0,6905.45,6986.19,1700,1187652615000.0,554,713,0.4194
2015-02-12,3MINDIA,EQ,6905.45,6999.95,7040.0,6974.0,7038.6,7023.95,7007.7,825,578135550000.0,197,631,0.7648
2015-02-13,3MINDIA,EQ,7023.95,7113.75,7199.95,7051.05,7100.0,7100.5,7131.78,696,496371765000.00006,165,443,0.6365
2015-02-16,3MINDIA,EQ,7100.5,7000.0,7219.7,7000.0,7199.95,7191.4,7158.82,570,408052565000.0,160,421,0.7386
2015-02-18,3MINDIA,EQ,7191.4,7050.0,7960.0,7050.0,7801.0,7809.75,7665.45,3800,2912872565000.0,1263,1780,0.46840000000000004
2015-02-19,3MINDIA,EQ,7809.75,7850.0,8274.9,7850.0,8020.0,8068.3,8099.88,3773,3056086000000.0,1092,2368,0.6276
2015-02-20,3MINDIA,EQ,8068.3,8200.0,8250.0,8070.0,8220.0,8205.3,8160.77,1611,1314700580000.0,357,1248,0.7747
2015-02-23,3MINDIA,EQ,8205.3,8249.0,8565.0,7950.0,7965.0,8088.4,8317.52,2633,2190002310000.0002,945,1285,0.488
2015-02-24,3MINDIA,EQ,8088.4,8024.85,8099.0,7755.05,7855.1,7890.4,7897.07,1120,884471344999.9999,403,674,0.6018
2015-02-25,3MINDIA,EQ,7890.4,8070.0,8070.0,7765.0,7780.0,7783.1,7868.72,538,423337020000.0,176,409,0.7602
2015-02-26,3MINDIA,EQ,7783.1,7875.0,7875.0,7662.0,7702.0,7723.7,7732.32,701,542035634999.99994,241,499,0.7118000000000001
